provider_name,address,city,county,phone,license_status,odh_license
"BILECI, LLC",308 SOUTH STATE STREET,PAINESVILLE,LAKE,(440)354-2131,ACTIVE,0080R
BLOOM AT ROCKY RIVER,21600 DETROIT ROAD,ROCKY RIVER,CUYAHOGA,(440)223-8306,ACTIVE,2190R
BROADVIEW HEIGHTS DANBURY,9500 BROADVIEW ROAD,BROADVIEW HEIGHTS,CUYAHOGA,(440)596-3047,ACTIVE,2723R
BROADWAY CREEK SENIOR LIVING,1046 NORTH JEFFERSON STREET,MEDINA,MEDINA,(330)764-3877,ACTIVE,2227R
BROOKDALE MEDINA SOUTH,100 HIGH POINT DRIVE,MEDINA,MEDINA,(330)723-0110,ACTIVE,2319R
BROOKDALE MENTOR,5700 EMERALD COURT,MENTOR,LAKE,(440)354-5499,ACTIVE,2252R
BROOKDALE MONTROSE,100 BROOKMONT ROAD,AKRON,SUMMIT,(330)666-4545,ACTIVE,2370R
BROOKDALE WESTLAKE VILLAGE,28635 WESTLAKE VILLAGE DRIVE,WESTLAKE,CUYAHOGA,(440)892-4200,ACTIVE,2649R
BROOKDALE WESTLAKE VILLAGE,28460 WESTLAKE VILLAGE DRIVE,WESTLAKE,CUYAHOGA,(440)892-4200,ACTIVE,1991R
BROOKLYN POINTE,4800 IDLEWOOD DRIVE,BROOKLYN,CUYAHOGA,(216)230-5690,ACTIVE,2833R
BRUNSWICK DANBURY,3430 BRUNSWICK LAKE PARKWAY,BRUNSWICK,MEDINA,(330)460-4244,ACTIVE,2798R
CAMELLA AT COPLEY,416 SILVER RIDGE DRIVE,COPLEY,SUMMIT,(833)226-3552,ACTIVE,2953R
CANTERBURY COMMONS,9928 VAIL DRIVE,TWINSBURG,SUMMIT,(330)405-6040,ACTIVE,2240R
CARDINAL COURT ALZHEIMER'S SPECIAL CARE CENTER,18719 DRAKE ROAD,STRONGSVILLE,CUYAHOGA,(440)268-9180,ACTIVE,2779R
CARDINAL RETIREMENT VILLAGE,171 GRAHAM RD,CUYAHOGA FALLS,SUMMIT,(330)928-7888,ACTIVE,2273R
CEDAR LIVING AT MAYFIELD HEIGHTS,30091 CEDAR ROAD,MAYFIELD HEIGHTS,CUYAHOGA,(216)242-6928,ACTIVE,2881R
CENTER FOR ASSISTED LIVING,26376 JOHN ROAD,OLMSTED TWP,CUYAHOGA,(440)235-7100,ACTIVE,1904R
CONCORD RESERVE (PARAGON BUILDING),2116 DOVER CENTER ROAD,WESTLAKE,CUYAHOGA,(440)871-0090,ACTIVE,0442R
CONCORDIA AT SUMNER,855 SUMNER PARKWAY,COPLEY,SUMMIT,(330)664-1000,ACTIVE,2857R
CONCORDIA AT SUMNER,970 SUMNER PARKWAY,COPLEY,SUMMIT,(330)664-1340,ACTIVE,2389R
CROWN CENTER AT LAUREL LAKE,200 LAUREL LAKE DRIVE,HUDSON,SUMMIT,(330)655-1714,ACTIVE,1903R
CUYAHOGA FALLS DANBURY WOODS,1691 QUEENS GATE CIRCLE,CUYAHOGA FALLS,SUMMIT,(330)648-4394,ACTIVE,2615R
DEER CREEK LODGE,27070 CEDAR ROAD,BEACHWOOD,CUYAHOGA,(216)831-2881,ACTIVE,2411R
DEVON OAKS,2345 CROCKER ROAD,WESTLAKE,CUYAHOGA,(440)250-2300,ACTIVE,2315R
DIVINE LIVING OF MADISON,2358 HUBBARD ROAD,MADISON,LAKE,(440)969-3040,ACTIVE,2806R
EAST PARK MEMORY CARE FACILITY,6 EAST PARK CIRCLE,BROOK PARK,CUYAHOGA,(216)267-7067,ACTIVE,2695R
EAST PARK RETIREMENT COMMUNITY,6360 ELMDALE ROAD,BROOK PARK,CUYAHOGA,(216)267-7067,ACTIVE,2372R
EDEN VISTA OF STOW,5511 FISHCREEK ROAD,STOW,SUMMIT,(330)342-0934,ACTIVE,2502R
EDEN VISTA OF WILLOUGHBY,35300 KAISER COURT,WILLOUGHBY,LAKE,(440)269-8600,ACTIVE,2262R
ELIZA AT CHAGRIN FALLS,16695 CHILLICOTHE ROAD,BAINBRIDGE,GEAUGA,(440)543-4221,ACTIVE,2369R
ELMS ASSISTED LIVING THE,563 WEST STREETSBORO ROAD,HUDSON,SUMMIT,(330)650-0436,ACTIVE,1992R
ELMS RETIREMENT VILLAGE,115 PROSPECT AVE,WELLINGTON,LORAIN,(440)647-2414,ACTIVE,1194R
ENCLAVE OF NEWELL CREEK THE,7900 CENTER STREET,MENTOR,LAKE,(440)840-8872,ACTIVE,2652R
"EVERGREEN GARDENS ASSISTED LIVING, INC",18344 HUNT ROAD,STRONGSVILLE,CUYAHOGA,(724)822-9611,ACTIVE,3010R
FAIRMONT OF WESTLAKE,27819 CENTER RIDGE ROAD,WESTLAKE,CUYAHOGA,(440)808-0074,ACTIVE,2226R
FOREST HILLS PLACE,3151 MAYFIELD ROAD,CLEVELAND HEIGHTS,CUYAHOGA,(216)321-6331,ACTIVE,2265R
"GANZHORN SUITES OF AVON, THE",33350 HEALTH CAMPUS BLVD,AVON,LORAIN,(440)294-1500,ACTIVE,2929R
GARDENS AT CUYAHOGA FALLS THE,45 CHART ROAD,CUYAHOGA FALLS,SUMMIT,(330)928-4500,ACTIVE,2429R
GARDENS OF FRENCH CREEK AT AVON OAKS THE,37800 FRENCH CREEK ROAD,AVON,LORAIN,(440)396-8738,ACTIVE,0205R
GATES MILLS CLUB SENIOR LIVING,6759 MAYFIELD ROAD,MAYFIELD HEIGHTS,CUYAHOGA,(440)461-2010,ACTIVE,2803R
GENERATIONS SENIOR LIVING BEREA,4 BEREA COMMONS,BEREA,CUYAHOGA,(440)243-9050,ACTIVE,2368R
GENERATIONS SENIOR LIVING STRONGSVILLE,18960 FALLING WATER ROAD,STRONGSVILLE,CUYAHOGA,(440)238-3600,ACTIVE,2334R
GOVERNOR'S POINTE,8506 HENDRICKS ROAD,MENTOR,LAKE,(440)951-6363,ACTIVE,2359R
GOVERNOR'S VILLAGE,280 NORTH COMMONS BLVD,MAYFIELD VILLAGE,CUYAHOGA,(216)245-9382,ACTIVE,2332R
GRANDE VILLAGE SUITES,2610 EAST AURORA ROAD,TWINSBURG,SUMMIT,(330)963-3600,ACTIVE,2437R
GRANDE VILLAGE VILLAS,2625 EAST AURORA ROAD,TWINSBURG,SUMMIT,(330)963-3600,ACTIVE,2685R
GREENVIEW SENIOR ASSISTED LIVING,4000 MASSILON ROAD,UNIONTOWN,SUMMIT,(330)899-0404,ACTIVE,2377R
HAMLET AT CHAGRIN FALLS,200 HAMLET HILLS DRIVE,CHAGRIN FALLS,CUYAHOGA,(440)247-4201,ACTIVE,2325R
HAVEN AT LAKEWOOD,1341 MARLOWE AVENUE,LAKEWOOD,CUYAHOGA,(216)228-2266,ACTIVE,2014R
HERITAGE CROSSING SENIOR LIVING AND MEMORY CARE,251 NORTH CLEVELAND MASSILLON ROAD,AKRON,SUMMIT,(330)510-3110,ACTIVE,2828R
HERITAGE OF EUCLID LLC,1 GATEWAY DRIVE,EUCLID,CUYAHOGA,(216)531-5400,ACTIVE,2416R
HERITAGE OF LYNDHURST LLC,1555 BRAINARD ROAD,LYNDHURST,CUYAHOGA,(440)460-1000,ACTIVE,2089R
HILLTOP VILLAGE ASSISTED LIVING,25900 EUCLID AVENUE,EUCLID,CUYAHOGA,(216)261-8383,ACTIVE,3019R
HINES HILL SENIOR LIVING,6731 INDUSTRIAL PARKWAY,HUDSON,SUMMIT,(330)653-2059,ACTIVE,2968R
HOLY SPIRIT RIDGE,10102 GRANGER ROAD,GARFIELD HEIGHTS,CUYAHOGA,(216)581-2900,ACTIVE,2939R
HUDSON DANBURY,150 OMNI LAKE PARKWAY,HUDSON,SUMMIT,(234)425-5754,ACTIVE,2851R
HUDSON GRANDE,5400 DARROW ROAD,HUDSON,SUMMIT,(330)653-9170,ACTIVE,2632R
INDEPENDENCE VILLAGE OF AURORA,505 S CHILLICOTHE RD,AURORA,PORTAGE,(330)562-1750,ACTIVE,2375R
INDEPENDENCE VILLAGE OF AVON LAKE,345 LEAR ROAD,AVON LAKE,LORAIN,(440)827-2388,ACTIVE,2361R
INN AT APPLE RIDGE THE,3308 BRECKSVILE ROAD,RICHFIELD,SUMMIT,(234)400-0555,ACTIVE,2835R
INN AT COAL RIDGE THE,1300 COAL RIDGE PARKWAY,WADSWORTH,MEDINA,(330)334-1546,ACTIVE,2609R
INN AT THE PINES THE,18122 CLARIDON TROY ROAD,HIRAM,GEAUGA,(440)834-0260,ACTIVE,2500R
INN AT THE PINES THE,18144 CLAIRDON TROY ROAD,HIRAM,GEAUGA,(440)834-0260,ACTIVE,2848R
JENNINGS ASSISTED LIVING,10204 GRANGER ROAD,GARFIELD HEIGHTS,CUYAHOGA,(216)581-2900,ACTIVE,0512R
JENNINGS AT BRECKSVILLE,8736 BRECKSVILLE ROAD,BRECKSVILLE,CUYAHOGA,(216)581-2900,ACTIVE,2785R
JENNINGS AT NOTRE DAME VILLAGE,10910 PINE GROVE TRAIL,CHARDON,GEAUGA,(440)279-9400,ACTIVE,2832R
JUDSON MANOR,1890 EAST 107TH STREET,CLEVELAND,CUYAHOGA,(216)791-2387,ACTIVE,2007R
JUDSON RETIREMENT COMMUNITY,2181 AMBLESIDE ROAD,CLEVELAND,CUYAHOGA,(216)791-2387,ACTIVE,0715R
KEMPER HOUSE HIGHLAND HEIGHTS,407 GOLFVIEW LANE,HIGHLAND HEIGHTS,CUYAHOGA,(440)461-0600,ACTIVE,2665R
KEMPER HOUSE STRONGSVILLE,10890 PROSPECT ROAD,STRONGSVILLE,CUYAHOGA,(440)846-1100,ACTIVE,2235R
KENDAL AT OBERLIN,600 KENDAL DRIVE,OBERLIN,LORAIN,(440)775-9811,ACTIVE,2012R
KENTRIDGE SENIOR LIVING THE,5241 SUNNYBROOK ROAD,KENT,PORTAGE,(330)677-4040,ACTIVE,2435R
LAKESIDE ASSISTED LIVING,22441 LAKE ROAD,ROCKY RIVER,CUYAHOGA,(440)333-5401,ACTIVE,2842R
"LAKEWOOD HEALTH CARE CENTER, I",13315 DETROIT AVE,LAKEWOOD,CUYAHOGA,(216)226-3858,ACTIVE,0506R
LEGACY HOUSE OF RICHMOND HEIGHTS,3 HOMEWOOD WAY,RICHMOND HEIGHTS,CUYAHOGA,(216)291-8585,ACTIVE,2274R
LEGACY PLACE - PARMA,7377 RIDGE ROAD,PARMA,CUYAHOGA,(440)887-4201,ACTIVE,1232R
LIGHT OF HEARTS VILLA,283 UNION STREET,BEDFORD,CUYAHOGA,(440)232-1991,ACTIVE,1917R
LORAIN ESTATES SENIOR LIVING,3290 COOPER FOSTER PARK ROAD,LORAIN,LORAIN,(440)960-2813,ACTIVE,2301R
LUTHER HOUSE,2154 DOVER CENTER ROAD,WESTLAKE,CUYAHOGA,(440)871-0090,ACTIVE,2884R
MAPLEWOOD AT CHARDON,12350 BASS LAKE ROAD,CHARDON,GEAUGA,(440)285-3300,ACTIVE,2264R
MAPLEWOOD AT CUYAHOGA FALLS,190 WEST BATH ROAD,CUYAHOGA FALLS,SUMMIT,(234)208-9871,ACTIVE,2722R
MAPLEWOOD AT TWINSBURG,2463 SUSSEX BOULEVARD,TWINSBURG,SUMMIT,(330)840-7404,ACTIVE,2741R
MCGREGOR ASSISTED LIVING,14850 PRIVATE DRIVE,EAST CLEVELAND,CUYAHOGA,(216)851-8112,ACTIVE,2879R
MEADOW FALLS OF BATH,101 N. CLEVELAND MASSILLON ROAD,AKRON,SUMMIT,(330)666-7011,ACTIVE,2181R
MEADOW FALLS OF CHAGRIN,5277 CHILLICOTHE ROAD,SOUTH RUSSELL,CUYAHOGA,(440)557-1186,ACTIVE,2747R
MEADOW FALLS OF MADISON,2041 HUBBARD ROAD,MADISON,LAKE,(440)428-2664,ACTIVE,2404R
MEADOW FALLS OF NORTH ROYALTON,14277 STATE ROAD,NORTH ROYALTON,CUYAHOGA,(440)582-4111,ACTIVE,2009R
MEADOW FALLS OF RICHMOND HEIGHTS,261 RICHMOND ROAD,CLEVELAND,CUYAHOGA,(216)289-9800,ACTIVE,2533R
MEADOW FALLS OF ROCKY RIVER,22900 CENTER RIDGE ROAD,ROCKY RIVER,CUYAHOGA,(440)356-2282,ACTIVE,2233R
MEADOW FALLS OF WICKLIFFE,30630 RIDGE ROAD,WICKLIFFE,LAKE,(440)943-2050,ACTIVE,2201R
MEDINA POINTE SENIOR LIVING,49A LEISURE LANE,MEDINA,MEDINA,(330)723-5825,ACTIVE,2357R
MENTOR DANBURY,9150 LAKESHORE BLVD,MENTOR,LAKE,(440)809-8345,ACTIVE,2850R
"MERRIMAN OPERATIONS, LLC",209 MERRIMAN ROAD,AKRON,SUMMIT,(330)762-9341,ACTIVE,0523R
MIDDLEBURG HEIGHTS ASSISTED LIVING,15435 BAGLEY ROAD,MIDDLEBURG HEIGHTS,CUYAHOGA,(440)887-1125,ACTIVE,2220R
MOUNT ALVERNA VILLAGE,6765 STATE ROAD,PARMA,CUYAHOGA,(440)843-7800,ACTIVE,0902R
MULBERRY GARDENS MEMORY CARE,47 STEEPLECHASE LANE,MUNROE FALLS,SUMMIT,(330)633-3026,ACTIVE,2782R
MULBERRY GARDENS SENIOR LIVING,395 SOUTH MAIN STREET,MUNROE FALLS,SUMMIT,(330)634-9919,ACTIVE,2405R
NATIONAL CHURCH RESIDENCES PORTAGE TRAIL VILLAGE,45 CATHEDRAL LANE,CUYAHOGA FALLS,SUMMIT,(330)929-4227,ACTIVE,2588R
NORTH PARK RETIREMENT COMMUNITY,14801 HOLLAND ROAD,BROOKPARK,CUYAHOGA,(216)267-0555,ACTIVE,2577R
NORTH RIDGEVILLE DANBURY,33770 BAGLEY ROAD,NORTH RIDGEVILLE,LORAIN,(440)805-9006,ACTIVE,2883R
O'NEILL HEALTHCARE BAY VILLAGE,605 BRADLEY ROAD,BAY VILLAGE,CUYAHOGA,(440)871-4509,ACTIVE,0448R
O'NEILL HEALTHCARE LAKEWOOD,1381 BUNTS ROAD,CLEVELAND,CUYAHOGA,(216)228-7650,ACTIVE,2459R
O'NEILL HEALTHCARE NORTH OLMSTED,4800 CLAGUE ROAD,NORTH OLMSTED,CUYAHOGA,(440)734-9933,ACTIVE,2329R
O'NEILL HEALTHCARE NORTH RIDGEVILLE,38600 CENTER RIDGE ROAD,NORTH RIDGEVILLE,LORAIN,(440)327-1295,ACTIVE,2566R
OHIO LIVING BRECKENRIDGE VILLAGE,36855 RIDGE ROAD,WILLOUGHBY,LAKE,(440)942-4342,ACTIVE,1760R
OHIO LIVING ROCKYNOL,1150 WEST MARKET STREET,AKRON,SUMMIT,(330)867-2150,ACTIVE,1280R
OHMAN FAMILY LIVING AT BRIAR,14807 NORTH STATE STREET,MIDDLEFIELD,GEAUGA,(440)632-5241,ACTIVE,2501R
OHMAN FAMILY LIVING AT BRIAR,15950 PIERCE ST,MIDDLEFIELD,GEAUGA,(440)632-5241,ACTIVE,0260R
OHMAN FAMILY LIVING AT HOLLY,10190 FAIRMOUNT ROAD,NEWBURY,GEAUGA,(440)338-8220,ACTIVE,0259R
"OLMSTED MANOR RETIREMENT COMMUNITY, LTD",27420 MILL ROAD,NORTH OLMSTED,CUYAHOGA,(440)779-8886,ACTIVE,2504R
OTTERBEIN NORTH OLMSTED,30344 LORAIN ROAD,NORTH OLMSTED,CUYAHOGA,(440)777-9300,ACTIVE,2481R
PARK CREEK CENTER,10064 NORTH CHURCH DRIVE,PARMA HEIGHTS,CUYAHOGA,(440)842-5100,ACTIVE,2021R
PARKSIDE VILLA,7040 HEPBURN ROAD,MIDDLEBURG HEIGHTS,CUYAHOGA,(440)260-7626,ACTIVE,2347R
PLEASANT LAKE VILLA,7260 RIDGE ROAD,PARMA,CUYAHOGA,(440)842-2273,ACTIVE,1872R
PLEASANT POINTE ASSISTED LIVING,220 3RD ST SE,BARBERTON,SUMMIT,(330)848-5028,ACTIVE,2249R
PLUM CREEK ASSISTED LIVING LLC,891 MARKS ROAD,BRUNSWICK,MEDINA,(330)220-4900,ACTIVE,2509R
PRESERVE AT MENTOR RIDGE THE,8161 NORTON PARKWAY,MENTOR,LAKE,(440)975-1960,ACTIVE,2899R
PROSPER AT WICKLIFFE,28500 EUCLID AVE,WICKLIFFE,LAKE,(440)373-9900,ACTIVE,2846R
REGENT OF STOW,3855 FISHCREEK ROAD,STOW,SUMMIT,(330)557-8009,ACTIVE,2936R
REGINA HEALTH CENTER,5232 BROADVIEW ROAD,RICHFIELD,SUMMIT,(330)659-4161,ACTIVE,2001R
RENAISSANCE ASSISTED LIVING,3975 EVERETT ROAD,RICHFIELD,SUMMIT,(330)313-7000,ACTIVE,2717R
RESERVE THE,915 WEST AURORA ROAD,NORTHFIELD,SUMMIT,(330)468-2273,ACTIVE,2783R
RESIDENCE OF CHARDON THE,501 CHARDON-WINDSOR ROAD,CHARDON,GEAUGA,(440)286-2277,ACTIVE,2290R
RESORTS AT DAUGHTERS OF MIRIAM,27080 CEDAR ROAD,BEACHWOOD,CUYAHOGA,(216)360-9080,ACTIVE,1956R
ROCKPORT RETIREMENT COMMUNITY,20375 CENTER RIDGE ROAD,ROCKY RIVER,CUYAHOGA,(440)356-5444,ACTIVE,2531R
ROSE SENIOR LIVING AVON,33200 HEALTH CAMPUS BLVD,AVON,LORAIN,(440)937-0757,ACTIVE,2760R
ROSE SENIOR LIVING BEACHWOOD,23611 HARVARD ROAD,BEACHWOOD,CUYAHOGA,(216)342-3200,ACTIVE,2896R
ROYALTON RESERVE,12799 DOULA LANE,NORTH ROYALTON,CUYAHOGA,(440)652-1080,ACTIVE,3004R
"SAINT THERESE OF WESTLAKE, LLC",29591 DETROIT ROAD,WESTLAKE,CUYAHOGA,(440)835-4000,ACTIVE,2318R
SALIDA WOODS AL,7685 LAKE SHORE BLVD,MENTOR,LAKE,(440)257-3866,ACTIVE,2257R
SAMARITAN VILLA,809 EAST WASHINGTON STREET,MEDINA,MEDINA,(330)723-5716,ACTIVE,1409R
SHAKER GARDENS CARE COMMUNITY,3550 NORTHFIELD ROAD,SHAKER HEIGHTS,CUYAHOGA,(216)752-5600,ACTIVE,2047R
SHURMER PLACE AT ALTENHEIM,18821 SHURMER ROAD,STRONGSVILLE,CUYAHOGA,(440)238-3361,ACTIVE,2326R
SHURMER PLACE MEMORY ASSISTED LIVING,18545 SHURMER ROAD,STRONGSVILLE,CUYAHOGA,(440)268-1048,ACTIVE,2814R
SINGLETON HEALTH CARE CENTER,1867 E 82ND STREET,CLEVELAND,CUYAHOGA,(216)231-8467,ACTIVE,0682R
SLOVENE HOME FOR THE AGED,18621 NEFF ROAD,CLEVELAND,CUYAHOGA,(216)486-0268,ACTIVE,1189R
SOLON POINTE AT EMERALD RIDGE,5625 EMERALD RIDGE PARKWAY,SOLON,CUYAHOGA,(440)498-3000,ACTIVE,2219R
SOUTH FRANKLIN CIRCLE,16570 WARREN COURT,CHAGRIN FALLS,GEAUGA,(216)791-2387,ACTIVE,2554R
SOUTHWEST COMMONS AL,18090 PEARL RD,STRONGSVILLE,CUYAHOGA,(440)238-3777,ACTIVE,2427R
ST JOSEPH CENTER,3430 ROCKY RIVER DRIVE,CLEVELAND,CUYAHOGA,(216)251-0303,ACTIVE,3009R
ST LUKE LUTHERAN COMMUNITY - PORTAGE LAKES,615 LATHAM LANE,AKRON,SUMMIT,(330)644-3914,ACTIVE,0670R
ST MARY OF THE WOODS,35755 DETROIT ROAD,AVON,LORAIN,(440)937-6869,ACTIVE,2439R
ST. AUGUSTINE TOWERS,7821 LAKE AVENUE,CLEVELAND,CUYAHOGA,(216)634-7444,ACTIVE,2142R
SUMMIT CORNERS,8400 SOUTH BEDFORD ROAD,MACEDONIA,SUMMIT,(330)813-8855,ACTIVE,2707R
SUMMIT POINT,9633 VALLEY VIEW ROAD,MACEDONIA,SUMMIT,(330)748-4200,ACTIVE,2508R
SUNRISE AT PARMA,7766 BROADVIEW ROAD,PARMA,CUYAHOGA,(216)447-8909,ACTIVE,2289R
SUNRISE OF CUYAHOGA FALLS,1500 STATE ROAD,CUYAHOGA FALLS,SUMMIT,(330)929-8500,ACTIVE,2294R
SYMPHONY AT MENTOR,8155 MENTOR HILLS DRIVE,MENTOR,LAKE,(440)256-8320,ACTIVE,2346R
SYMPHONY AT OLMSTED FALLS,25880 ELM STREET,OLMSTED FALLS,CUYAHOGA,(440)235-2750,ACTIVE,2320R
TALLMADGE DANBURY,73 EAST AVENUE,TALLMADGE,SUMMIT,(330)577-9174,ACTIVE,2753R
THE 1907 AT CENTRAL SCHOOL,474 CHURCH STREET,AMHERST,LORAIN,(440)984-6999,ACTIVE,2867R
THE ASHTON AT MAYFIELD HEIGHTS,6200 LANDERHAVEN DRIVE,MAYFIELD HEIGHTS,CUYAHOGA,(440)771-2900,ACTIVE,2891R
THE GARDENS AT LIBERTY PARK,9975 GREEN TREE PARKWAY,STREETSBORO,PORTAGE,(330)342-9100,ACTIVE,2292R
THE PAVILION AT STOW ASSISTED LIVING,3700 ENGLEWOOD DRIVE,STOW,SUMMIT,(330)688-1828,ACTIVE,1963R
THE RIDGE AT COPLEY,3522 COMMERCIAL DRIVE,AKRON,SUMMIT,(330)664-1650,ACTIVE,2735R
THE WOODLANDS OF LIBERTY LLC,1054 FREEDOM DRIVE,WADSWORTH,MEDINA,(330)336-3616,ACTIVE,2299R
THISTLE HOUSE SENIOR LIVING,526 WATER STREET,CHARDON,GEAUGA,(440)286-4664,ACTIVE,2830R
VILLAGE AT ST EDWARD THE,3125 SMITH ROAD,FAIRLAWN,SUMMIT,(330)668-2828,ACTIVE,2401R
VILLAGE OF ST EDWARD AT GREEN THE,3813 FORTUNA DRIVE,AKRON,SUMMIT,(234)294-0010,ACTIVE,2868R
VILLAGE OF ST EDWARD AT WADSWORTH THE,880 MAIN STREET,WADSWORTH,MEDINA,(234)217-9254,ACTIVE,2843R
VILLAGE OF THE FALLS,25920 ELM STREET,OLMSTED FALLS,CUYAHOGA,(440)989-5200,ACTIVE,2331R
VILLAS AT KING DAVID CENTER LLC,27090 CEDAR ROAD,BEACHWOOD,CUYAHOGA,(216)292-0070,ACTIVE,2031R
VISTA SPRINGS GREENBRIAR,8668 DAY DRIVE,PARMA,CUYAHOGA,(440)340-4000,ACTIVE,2756R
VISTA SPRINGS QUAIL HIGHLANDS,7960 AUBURN ROAD,CONCORD TOWNSHIP,LAKE,(440)867-9100,ACTIVE,2769R
VISTA SPRINGS RAVINIA ESTATE,6046 BRECKSVILLE ROAD,INDEPENDENCE,CUYAHOGA,(216)232-4900,ACTIVE,2853R
VISTA VERANDA,141 CHESTNUT HILL DRIVE,RAVENNA,PORTAGE,(330)296-4545,ACTIVE,2167R
VITALIA ACTIVE ADULT COMMUNITY AT HIGHLAND HEIGHTS,305 BISHOP ROAD,HIGHLAND HEIGHTS,CUYAHOGA,(440)697-3260,ACTIVE,2989R
VITALIA ACTIVE ADULT COMMUNITY AT MENTOR,8180 MENTOR HILLS DRIVE,MENTOR,LAKE,(440)534-9840,ACTIVE,2974R
VITALIA ACTIVE ADULT COMMUNITY AT MONTROSE,4031 HERITAGE CENTER DRIVE,COPLEY,SUMMIT,(330)665-3733,ACTIVE,2880R
VITALIA ACTIVE ADULT COMMUNITY AT NORTH OLMSTED,29801 LORAIN ROAD,NORTH OLMSTED,CUYAHOGA,(440)401-2221,ACTIVE,2935R
VITALIA ACTIVE ADULT COMMUNITY AT NORTH ROYALTON,8179 YORK ROAD,NORTH ROYALTON,CUYAHOGA,(440)628-4491,ACTIVE,2952R
VITALIA ACTIVE ADULT COMMUNITY AT ROCKSIDE,6100 LOMBARDO CENTER SOUTH,SEVEN HILLS,CUYAHOGA,(216)750-5147,ACTIVE,2902R
VITALIA ACTIVE ADULT COMMUNITY AT SOLON,6050 KRUSE DRIVE,SOLON,CUYAHOGA,(440)264-2465,ACTIVE,2905R
VITALIA SENIOR RESIDENCES AT STOW,4291 ALLEN ROAD,STOW,SUMMIT,(330)922-3737,ACTIVE,2862R
VITALIA SENIOR RESIDENCES AT STRONGSVILLE,21452 ROYALTON ROAD,STRONGSVILLE,CUYAHOGA,(440)878-3737,ACTIVE,2807R
VITALIA SENIOR RESIDENCES AT WESTLAKE,26695 CENTER RIDGE DRIVE,WESTLAKE,CUYAHOGA,(440)835-3737,ACTIVE,2822R
WADSWORTH POINTE,540 GREAT OAKS TRAIL,WADSWORTH,MEDINA,(330)336-1141,ACTIVE,2059R
WELSH HOME FOR THE AGED,22199 CENTER RIDGE ROAD,ROCKY RIVER,CUYAHOGA,(440)331-0420,ACTIVE,0447R
WESLEYAN VILLAGE,807 WEST AVENUE,ELYRIA,LORAIN,(440)284-9000,ACTIVE,0477R
WEST PARK COMMONS,4106 ROCKY RIVER DRIVE,CLEVELAND,CUYAHOGA,(216)941-6100,ACTIVE,2493R
WESTERN RESERVE MASONIC COMMUNITY,4931 NETTLETON ROAD,MEDINA,MEDINA,(330)721-3000,ACTIVE,2188R
